customer_id,first_name,last_name,gender,email_address,phone_number,city,annual_income,credit_score,customer_segment,account_status,signup_date,signup_year,signup_month,signup_quarter,signup_month_year,signup_day_name,signup_is_weekend,full_name,credit_tier
CUST-2001,Pari,Singh,Male,Unknown,72151-94519,Hyderabad,25000.0,780.0,Corporate,Active,2025-07-11,2025.0,7.0,2025Q3,2025-07,Friday,False,Pari Singh,Very Good (740-799)
CUST-2002,Pari,Kapoor,Female,pari.kapoor93@example.com,Unknown,Pune,45000.0,850.0,Corporate,Suspended,2025-05-15,2025.0,5.0,2025Q2,2025-05,Thursday,False,Pari Kapoor,Exceptional (800+)
CUST-2003,Unknown,Verma,Female,Unknown,80535-60262,Hyderabad,25000.0,650.0,Home Office,Active,2024-12-03,2024.0,12.0,2024Q4,2024-12,Tuesday,False,Unknown Verma,Fair (580-669)
CUST-2004,Aadhya,Rao,Female,aadhya.rao98@example.com,+91 9044426601,Pune,85000.0,850.0,Corporate,Pending,2025-07-06,2025.0,7.0,2025Q3,2025-07,Sunday,True,Aadhya Rao,Exceptional (800+)
CUST-2005,Myra,Sharma,Other,user5@domain.org,Unknown,Chennai,85000.0,650.0,Consumer,Inactive,,,,,,,False,Myra Sharma,Fair (580-669)
CUST-2006,Aarav,Sharma,Other,aarav.sharma39@example.com,+91 8611022972,Chennai,25000.0,590.0,Home Office,Suspended,2026-05-20,2026.0,5.0,2026Q2,2026-05,Wednesday,False,Aarav Sharma,Fair (580-669)
CUST-2007,Aadhya,Khan,Male,aadhya.khan53at-domain.com,+91 9142950388,Kolkata,1200000.0,800.0,Home Office,Active,2024-12-24,2024.0,12.0,2024Q4,2024-12,Tuesday,False,Aadhya Khan,Exceptional (800+)
CUST-2008,Krishna,Verma,Female,Unknown,Unknown,Kolkata,15000000.0,590.0,Consumer,Suspended,2024-07-26,2024.0,7.0,2024Q3,2024-07,Friday,False,Krishna Verma,Fair (580-669)
CUST-2009,Vihaan,Rao,Unknown,vihaan.rao35@domain.org,96591-55873,Mumbai,85000.0,780.0,Consumer,Pending,,,,,,,False,Vihaan Rao,Very Good (740-799)
CUST-2010,Saanvi,Reddy,Other,saanvi.reddy28@example.com,Unknown,Bangalore,25000.0,9999.0,Home Office,Suspended,,,,,,,False,Saanvi Reddy,Exceptional (800+)
