order_id,order_date,customer_name,region,product_category,item,quantity,unit_price,discount_pct,payment_method,order_year,order_month,order_quarter,order_month_year,order_day_name,order_is_weekend,revenue,discount_amount,net_revenue
ORD-2026-1001,,David Miller,West,Office Supplies,Sticky Notes Pack,3.0,89900.0,-5.0,UPI,,,,,,False,269700.0,-1348500.0,1618200.0
ORD-2026-1002,,Deepika Padukone,East,Furniture,Conference Table,3.0,45000.0,20.0,UPI,,,,,,False,135000.0,27000.0,108000.0
ORD-2026-1003,2026-03-30,Unknown,West,Electronics,Noise-Cancelling Headphones,500.0,1250.0,50.0,UPI,2026.0,3.0,2026Q1,2026-03,Monday,False,625000.0,312500.0,312500.0
ORD-2026-1004,,Amit Verma,South,Furniture,Ergonomic Desk Chair,2.0,3500.0,5.0,UPI,,,,,,False,7000.0,350.0,6650.0
ORD-2026-1005,2026-04-02,Unknown,North,Clothing,Corporate Polo T-Shirt,10.0,150.0,0.0,UPI,2026.0,4.0,2026Q2,2026-04,Thursday,False,1500.0,0.0,1500.0
ORD-2026-1006,,Deepika Padukone,North,Furniture,Standing Desk,0.0,3500.0,5.0,Credit Card,,,,,,False,0.0,0.0,0.0
ORD-2026-1007,,Priya Patel,East,Clothing,Breathable Face Mask (10Pk),15.0,89900.0,10.0,Cash on Delivery,,,,,,False,1348500.0,134850.0,1213650.0
ORD-2026-1008,,Sarah Connor,West,Office Supplies,Whiteboard 4X3,2.0,1250.0,0.0,Credit Card,,,,,,False,2500.0,0.0,2500.0
ORD-2026-1009,2026-05-16,Meera Nair,North,Office Supplies,Gel Pens Box (50),3.0,199.99,10.0,UPI,2026.0,5.0,2026Q2,2026-05,Saturday,True,599.97,60.0,539.97
ORD-2026-1010,2026-02-10,Vikram Singh,East,Electronics,4K Ultra Monitor,10.0,1250.0,-5.0,Debit Card,2026.0,2.0,2026Q1,2026-02,Tuesday,False,12500.0,-62500.0,75000.0
ORD-2026-1011,,Sarah Connor,South,Electronics,Laptop Pro 15,15.0,45000.0,10.0,Debit Card,,,,,,False,675000.0,67500.0,607500.0
ORD-2026-1012,,Vikram Singh,North,Electronics,4K Ultra Monitor,10.0,1250.0,10.0,UPI,,,,,,False,12500.0,1250.0,11250.0
ORD-2026-1013,2026-04-06,Michael Chang,North,Clothing,Breathable Face Mask (10Pk),4.0,3500.0,50.0,Debit Card,2026.0,4.0,2026Q2,2026-04,Monday,False,14000.0,7000.0,7000.0
ORD-2026-1014,,David Miller,West,Office Supplies,Whiteboard 4X3,500.0,1250.0,5.0,Net Banking,,,,,,False,625000.0,31250.0,593750.0
ORD-2026-1015,2026-01-28,Karan Johar,South,Clothing,Corporate Polo T-Shirt,3.0,3500.0,10.0,Cash on Delivery,2026.0,1.0,2026Q1,2026-01,Wednesday,False,10500.0,1050.0,9450.0
ORD-2026-1016,2026-08-13,Karan Johar,South,Office Supplies,Sticky Notes Pack,2.0,1250.0,15.0,Cash on Delivery,2026.0,8.0,2026Q3,2026-08,Thursday,False,2500.0,375.0,2125.0
ORD-2026-1017,2026-06-04,Rohan Gupta,South,Office Supplies,Heavy Duty Stapler,5.0,199.99,10.0,UPI,2026.0,6.0,2026Q2,2026-06,Thursday,False,999.95,100.0,899.95
ORD-2026-1018,2026-06-29,Unknown,East,Office Supplies,Heavy Duty Stapler,1.0,3500.0,50.0,Credit Card,2026.0,6.0,2026Q2,2026-06,Monday,False,3500.0,1750.0,1750.0
