Emp ID,Employee Name,Department,Job Title,Hire Date,Salary,Performance Rating,Experience (Yrs),Location
EMP-5001,Employee 1,,Account Executive,27-08-2023,-5000,99.0,12.0,remote
EMP-5002,Employee 2,Engineering,Software Engineer,08-03-2024,,4.0,12.0,REMOTE
EMP-5003,Employee 3,finance,Senior Developer,23-12-2023,"$85,000",5.0,15.0,Hyderabad
EMP-5004,Employee 4,,Marketing Lead,14-01-2024, 95000 ,4.0,,
EMP-5005,Employee 5,marketing,Account Executive,22-01-2025,,4.0,1.0,
EMP-5006,Employee 6,engineering,Marketing Lead,04-05-2023,-5000,,1.0,Bangalore
EMP-5007,Employee 7,Sales,Account Executive,Invalid Date,"120,000",2.0,5.0,Pune
EMP-5008,Employee 8,finance,Financial Analyst,30-05-2022,,,12.0,Hyderabad
EMP-5009,Employee 9,Sales,Marketing Lead,20-11-2022,"120,000",1.0,3.0,remote
EMP-5010,Employee 10,Human Resources,Account Executive,10-07-2021,"120,000",2.0,15.0,Pune
EMP-5011,Employee 11,finance,Senior Developer,18-09-2020, 95000 ,5.0,12.0,REMOTE
EMP-5012,Employee 12,Finance,HR Specialist,21-04-2024,"₹14,50,000",4.0,12.0,Pune
EMP-5013,Employee 13,marketing,Financial Analyst,19-07-2020,"$85,000",5.0,8.0,Bangalore
EMP-5014,Employee 14,Marketing,Marketing Lead,21-02-2024,"$85,000",5.0,3.0,remote
EMP-5015,Employee 15,Marketing,HR Specialist,04-08-2022, 95000 ,2.0,3.0,remote
EMP-5016,Employee 16,ENGINEERING,Senior Developer,Invalid Date,,99.0,12.0,Remote
EMP-5017,Employee 17,finance,Marketing Lead,15-06-2024,-5000,3.0,3.0,Pune
EMP-5018,Employee 18,Sales,Account Executive,27-01-2023,"120,000",2.0,45.0,REMOTE
EMP-5019,Employee 19,HR,Senior Developer,25-09-2022,-5000,,12.0,Bangalore
EMP-5020,Employee 20,sales,Marketing Lead,04-03-2020, 95000 ,5.0,3.0,Pune
EMP-5021,Employee 21,Marketing,HR Specialist,02-09-2020,-5000,4.5,-1.0,Remote
EMP-5022,Employee 22,sales,Software Engineer,14-05-2025,,2.0,15.0,Bangalore
EMP-5023,Employee 23,ENGINEERING,Account Executive,11-09-2021,"120,000",4.0,15.0,
EMP-5024,Employee 24,marketing,Senior Developer,29-05-2024,"$85,000",4.5,45.0,
EMP-5025,Employee 25,finance,Account Executive,13-05-2021,"₹14,50,000",1.0,5.0,remote
EMP-5026,Employee 26,finance,Senior Developer,06-09-2024,"120,000",99.0,5.0,
EMP-5027,Employee 27,HR,Marketing Lead,Invalid Date,"$85,000",1.0,1.0,Pune
EMP-5028,Employee 28,Marketing,Account Executive,02-11-2022,,5.0,-1.0,Hyderabad
EMP-5029,Employee 29,Marketing,HR Specialist,Invalid Date, 95000 ,4.5,12.0,Remote
EMP-5030,Employee 30,engineering,Software Engineer,26-11-2021,,1.0,5.0,Pune
EMP-5031,Employee 31,engineering,Senior Developer,12-09-2023,,99.0,5.0,Bangalore
EMP-5032,Employee 32,Sales,Software Engineer,29-06-2022,-5000,5.0,45.0,remote
EMP-5033,Employee 33,,Software Engineer,26-08-2024, 95000 ,2.0,45.0,
EMP-5034,Employee 34,HR,Senior Developer,Invalid Date,"120,000",4.5,15.0,Pune
EMP-5035,Employee 35,ENGINEERING,Account Executive,19-06-2025,-5000,,3.0,remote
EMP-5036,Employee 36,ENGINEERING,Account Executive,25-12-2022,"$85,000",99.0,3.0,Hyderabad
EMP-5037,Employee 37,,Financial Analyst,Invalid Date,"₹14,50,000",2.0,45.0,
EMP-5038,Employee 38,,Senior Developer,22-06-2022,,,-1.0,Pune
EMP-5039,Employee 39,Marketing,HR Specialist,04-01-2025,"$85,000",1.0,,REMOTE
EMP-5040,Employee 40,sales,HR Specialist,12-12-2022, 95000 ,1.0,,REMOTE
EMP-5041,Employee 41,Engineering,Financial Analyst,16-02-2024,,4.0,8.0,Hyderabad
EMP-5042,Employee 42,engineering,Marketing Lead,22-02-2020,,4.5,8.0,remote
EMP-5043,Employee 43,finance,Senior Developer,04-05-2025,,2.0,3.0,Hyderabad
EMP-5044,Employee 44,finance,Software Engineer,02-06-2024,"$85,000",99.0,1.0,Hyderabad
EMP-5045,Employee 45,Finance,Senior Developer,20-10-2020,"$85,000",99.0,45.0,Hyderabad
EMP-5046,Employee 46,Human Resources,Software Engineer,28-07-2022,"$85,000",,,Bangalore
EMP-5047,Employee 47,finance,Account Executive,24-08-2024,"120,000",4.0,8.0,Hyderabad
EMP-5048,Employee 48,ENGINEERING,HR Specialist,16-07-2020,"120,000",3.0,12.0,Bangalore
EMP-5049,Employee 49,Finance,Senior Developer,25-01-2025, 95000 ,1.0,45.0,
EMP-5050,Employee 50,Finance,HR Specialist,02-11-2022,-5000,1.0,45.0,Remote
EMP-5051,Employee 51,finance,Software Engineer,03-03-2022,,1.0,12.0,Remote
EMP-5052,Employee 52,ENGINEERING,Account Executive,20-03-2022,"$85,000",5.0,15.0,
EMP-5053,Employee 53,,Software Engineer,28-02-2024,"₹14,50,000",,5.0,Remote
EMP-5054,Employee 54,HR,Marketing Lead,02-11-2022,"₹14,50,000",5.0,8.0,
EMP-5055,Employee 55,engineering,Software Engineer,22-01-2024,,,15.0,Bangalore
EMP-5056,Employee 56,Sales,HR Specialist,07-11-2024,"₹14,50,000",1.0,45.0,
EMP-5057,Employee 57,Sales,Senior Developer,21-11-2020,"120,000",4.0,12.0,Remote
EMP-5058,Employee 58,Human Resources,Financial Analyst,21-12-2020,-5000,4.0,5.0,remote
EMP-5059,Employee 59,HR,Software Engineer,31-07-2024,-5000,4.0,12.0,Hyderabad
EMP-5060,Employee 60,sales,Financial Analyst,15-02-2025,"120,000",4.5,5.0,Bangalore
EMP-5061,Employee 61,ENGINEERING,Financial Analyst,20-04-2023,"120,000",,,Remote
EMP-5062,Employee 62,Finance,Marketing Lead,30-01-2025,"120,000",99.0,1.0,Remote
EMP-5063,Employee 63,Finance,Marketing Lead,12-09-2024,"₹14,50,000",3.0,,Hyderabad
EMP-5064,Employee 64,sales,Financial Analyst,25-10-2024,-5000,1.0,1.0,
EMP-5065,Employee 65,Finance,Marketing Lead,12-01-2020, 95000 ,5.0,8.0,remote
EMP-5066,Employee 66,marketing,Marketing Lead,01-04-2021, 95000 ,,1.0,
EMP-5067,Employee 67,HR,HR Specialist,05-10-2021, 95000 ,5.0,,remote
EMP-5068,Employee 68,engineering,Senior Developer,07-01-2023,"120,000",99.0,8.0,Hyderabad
EMP-5069,Employee 69,Human Resources,Software Engineer,21-01-2025,"120,000",2.0,15.0,Bangalore
EMP-5070,Employee 70,Engineering,Account Executive,07-05-2023,"₹14,50,000",1.0,,Hyderabad
EMP-5071,Employee 71,finance,HR Specialist,05-04-2021,-5000,,45.0,Remote
EMP-5072,Employee 72,,Account Executive,08-12-2022,"120,000",4.5,45.0,REMOTE
EMP-5073,Employee 73,,Software Engineer,03-05-2021,,2.0,1.0,Hyderabad
EMP-5074,Employee 74,sales,Marketing Lead,03-04-2021,,1.0,3.0,REMOTE
EMP-5075,Employee 75,finance,Senior Developer,15-05-2024,"₹14,50,000",5.0,12.0,REMOTE
EMP-5076,Employee 76,Marketing,Financial Analyst,28-07-2020,,2.0,5.0,REMOTE
EMP-5077,Employee 77,Marketing,HR Specialist,07-05-2021, 95000 ,4.0,1.0,Bangalore
EMP-5078,Employee 78,finance,HR Specialist,12-05-2022,"120,000",4.0,15.0,Bangalore
EMP-5079,Employee 79,Sales,Account Executive,26-11-2021, 95000 ,2.0,,Remote
EMP-5080,Employee 80,finance,HR Specialist,08-11-2022,,4.5,3.0,Hyderabad
EMP-5081,Employee 81,Marketing,Marketing Lead,07-03-2022, 95000 ,5.0,3.0,Bangalore
EMP-5082,Employee 82,finance,Account Executive,25-03-2021,"₹14,50,000",99.0,45.0,remote
EMP-5083,Employee 83,Finance,Financial Analyst,09-05-2021,,1.0,-1.0,Bangalore
EMP-5084,Employee 84,finance,Marketing Lead,20-02-2025,-5000,4.5,,remote
EMP-5085,Employee 85,Finance,Marketing Lead,15-03-2024,"120,000",2.0,12.0,Hyderabad
EMP-5086,Employee 86,,Senior Developer,01-08-2022, 95000 ,4.5,12.0,Pune
EMP-5087,Employee 87,HR,HR Specialist,03-08-2024,-5000,2.0,8.0,Bangalore
EMP-5088,Employee 88,Marketing,Account Executive,08-05-2020,"$85,000",5.0,-1.0,Bangalore
EMP-5089,Employee 89,ENGINEERING,Marketing Lead,17-06-2024, 95000 ,3.0,1.0,
EMP-5090,Employee 90,finance,Senior Developer,30-09-2020,-5000,4.0,8.0,remote
EMP-5091,Employee 91,finance,Senior Developer,23-04-2020,"$85,000",2.0,8.0,Remote
EMP-5092,Employee 92,marketing,Senior Developer,30-11-2022,"$85,000",5.0,1.0,Bangalore
EMP-5093,Employee 93,Marketing,Senior Developer,14-05-2025,-5000,4.0,12.0,Pune
EMP-5094,Employee 94,Human Resources,Account Executive,10-08-2021,"₹14,50,000",3.0,5.0,remote
EMP-5095,Employee 95,,Senior Developer,08-02-2021,,4.0,-1.0,Hyderabad
EMP-5096,Employee 96,Sales,Senior Developer,08-08-2020,"$85,000",,5.0,
EMP-5097,Employee 97,,Financial Analyst,Invalid Date,"120,000",2.0,5.0,remote
EMP-5098,Employee 98,Engineering,Account Executive,30-07-2023,-5000,4.0,3.0,remote
EMP-5099,Employee 99,Human Resources,Senior Developer,16-10-2020,"$85,000",1.0,-1.0,remote
EMP-5100,Employee 100,Human Resources,Marketing Lead,03-08-2021,,5.0,,Bangalore
EMP-5001,Employee 1,,Account Executive,27-08-2023,-5000,99.0,12.0,remote
EMP-5002,Employee 2,Engineering,Software Engineer,08-03-2024,,4.0,12.0,REMOTE
EMP-5003,Employee 3,finance,Senior Developer,23-12-2023,"$85,000",5.0,15.0,Hyderabad
EMP-5004,Employee 4,,Marketing Lead,14-01-2024, 95000 ,4.0,,
EMP-5005,Employee 5,marketing,Account Executive,22-01-2025,,4.0,1.0,
